code,pseudonym,gender,age_label,education,relevant_experience,skills,reach_indicator,interaction_indicator,benchmark,additional_information,cell_id,education_level,education_major,productivity_group,reach_value,interaction_value,reach_band,interaction_band,experience_months,age_years,age_months
C-001,Kandidat 001,Perempuan,25 tahun 7 bulan,"SMK, Desain komunikasi visual",1 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 355,"Rata-rata interaksi per postingan: 9 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,1,SMK,Desain komunikasi visual,"Jangkauan rendah, interaksi rendah",355,9,Jangkauan rendah,Interaksi rendah,12,25,7
C-002,Kandidat 002,Laki-laki,24 tahun 10 bulan,"SMK, Desain komunikasi visual",0 tahun 6 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 220,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,1,SMK,Desain komunikasi visual,"Jangkauan rendah, interaksi rendah",220,3,Jangkauan rendah,Interaksi rendah,6,24,10
C-003,Kandidat 003,Perempuan,25 tahun 11 bulan,"SMK, Pemasaran",0 tahun 6 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 255,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,1,SMK,Pemasaran,"Jangkauan rendah, interaksi rendah",255,3,Jangkauan rendah,Interaksi rendah,6,25,11
C-004,Kandidat 004,Laki-laki,24 tahun 1 bulan,"SMK, Multimedia",1 tahun 0 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 279,"Rata-rata interaksi per postingan: 25 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,1,SMK,Multimedia,"Jangkauan rendah, interaksi rendah",279,25,Jangkauan rendah,Interaksi rendah,12,24,1
C-005,Kandidat 005,Laki-laki,22 tahun 3 bulan,"SMK, Multimedia",1 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 233,"Rata-rata interaksi per postingan: 16 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,1,SMK,Multimedia,"Jangkauan rendah, interaksi rendah",233,16,Jangkauan rendah,Interaksi rendah,12,22,3
C-006,Kandidat 006,Perempuan,22 tahun 2 bulan,"SMK, Multimedia",1 tahun 0 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 110,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,1,SMK,Multimedia,"Jangkauan rendah, interaksi rendah",110,3,Jangkauan rendah,Interaksi rendah,12,22,2
C-007,Kandidat 007,Laki-laki,20 tahun 4 bulan,"SMK, Pemasaran",0 tahun 6 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 306,"Rata-rata interaksi per postingan: 7 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,1,SMK,Pemasaran,"Jangkauan rendah, interaksi rendah",306,7,Jangkauan rendah,Interaksi rendah,6,20,4
C-008,Kandidat 008,Laki-laki,25 tahun 6 bulan,"SMK, Multimedia",2 tahun 0 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 111,"Rata-rata interaksi per postingan: 6 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,1,SMK,Multimedia,"Jangkauan rendah, interaksi rendah",111,6,Jangkauan rendah,Interaksi rendah,24,25,6
C-009,Kandidat 009,Perempuan,24 tahun 6 bulan,"SMK, Multimedia",1 tahun 6 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 226,"Rata-rata interaksi per postingan: 4 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,1,SMK,Multimedia,"Jangkauan rendah, interaksi rendah",226,4,Jangkauan rendah,Interaksi rendah,18,24,6
C-010,Kandidat 010,Perempuan,19 tahun 0 bulan,"SMK, Administrasi perkantoran",1 tahun 6 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 376,"Rata-rata interaksi per postingan: 19 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,1,SMK,Administrasi perkantoran,"Jangkauan rendah, interaksi rendah",376,19,Jangkauan rendah,Interaksi rendah,18,19,0
